n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15
130,"M",17,116.8,97.0787878787879,72.9838383838384,1.77949406853222,1.28347485303723,1.80011327943978,0.605305076528846,1.41857310551715,0.944562559795898,0.914238216311365,1.33855268726196,1.5350101971448,1.42489711934156,1.25886879569065,1.21380727660222,0.582640812557715,0.388185100278666,0.435462469634801
131,"M",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"F",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"M",20,79.3382352941177,55.3627450980392,40.1225490196078,-6.42885921467828,1.26615696268705,2.03682603077646,0.651689405043786,1.42878854869017,0.956153748249967,0.883456509380331,0.780139331680248,1.70487137994532,1.58593142086424,1.19789943169556,1.11483121195352,0.79995641752016,2.91934678277487,0.456261505446335
134,"M",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"F",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"F",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,"F",22,72.1930693069307,58.5335533553355,53.9136413641364,1.64465934923362,1.05650443046102,1.98610938856505,0.587637377759023,1.25476196680303,1.16689856685683,1.08596548355585,0.711750818673367,2.12233678933577,2.06968256662706,1.1589256222293,1.15650148866551,1.08086925543284,0.350278711291808,0.487263891435907
138,"M",21,95.9171717171717,95.9292929292929,93.5616161616162,2.0409572925728,0.986426837342749,1.82094987608113,0.576982867766079,1.30842678177638,0.664854791116632,0.51059835271318,0.266763696849983,1.6129705059626,1.31496938329202,1.31322799732554,1.20031714085323,0.463295553618129,0.348562313681997,0.428253310265678
139,"F",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"M",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"M",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"M",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,"M",23,87.1229508196721,81.844262295082,76.4409836065574,2.01875140703479,1.43313201035375,1.84128578603717,0.617078220471645,1.43218815666219,0.75217942031145,0.589539286841271,0.710913382967131,1.97229804285963,1.64308755760369,1.38406458406458,1.34310310836564,0.658229915088171,0.374966985610315,0.458690744920993
144,"M",19,113.012698412698,90.3873015873016,84.152380952381,2.01798133630273,1.50077649026401,2.15692133326465,0.721924303819295,1.58819718017831,0.76101478112564,0.650587566338137,0.743201966773449,1.79228083785881,1.58954232079077,1.23360928152758,1.17151773049645,0.367936117936121,0.391241804385728,0.456932273905902
145,"M",23,120.3,90.855737704918,73.7016393442623,2.02965713531751,1.38739448508722,1.9122830741492,0.697040895125118,1.67043280417809,0.641273965591907,0.39778723404255,0.557522123893804,1.72000282658878,1.37618304916522,1.15432954713084,1.02538018102616,0.536834006539725,0.406442655920035,0.44544449075113
146,"M",25,87.3370629370629,62.2741258741259,54.0615384615385,-9.11017647225907,1.38233833933226,1.8409341581547,0.669416011299632,1.62333534279608,1.09678077996325,1,0.966664322385544,2.41178478341815,2.15782898389784,2.03704137850194,1.64523704182691,0.249341064839228,0.951317819498813,0.478819848010729
147,"F",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"M",27,81.3014705882353,71.343137254902,66.1813725490196,1.90045149861353,1.28496146498913,2.10153883436326,0.761286074838143,1.7617261433635,0.651037321319319,0.581220748829957,0.835755642207257,1.81971107544142,1.39330233478433,1.25025803890433,1.20640764530785,0.50035385704175,0.398185697379301,0.440736728060672
149,"F",28,123.419117647059,109.607843137255,92.6372549019608,1.82373534607355,1.00166711122966,1.63589296419424,0.586258080896858,1.4722391330817,1.24962866273574,1.70729909068566,1.38819822888283,1.2015084878129,1.63159740960604,1.26556868823871,1.18111315514194,1.11001131221718,0.389712344814335,0.421455377037645
150,"M",22,90.9717171717172,62.9010101010101,48.2767676767677,2.21315990085772,1.37545973367153,2.08556953568645,0.728331453902088,1.65580186424474,1.25564926798218,2.24884640738301,5.66932515337422,1.80310107381904,1.97651180152759,1.08097143492275,1.23472501785598,1.3811826471401,0.37822819922181,0.486141655004453
151,"F",25,77.5364102564103,59.6153846153846,51.1579487179487,1.33336560805577,1.62544052131126,2.16374397194213,0.775184058113281,1.7662067488604,0.484218164227837,0.174397535785469,0.647948164146869,2.25263346470799,1.44468767610213,1.2684827710626,1.11596457255325,0.342338539468129,0.431102847286006,0.463428532130822
152,"M",31,105.267156862745,75.0735294117647,54.8725490196078,-7.00722977018025,1.27607059981717,1.79115710253998,0.589785171552996,1.37025264873676,1.01941425921018,0.903711393719182,1.00013974287312,2.04636794433448,1.77238307349665,1.10287862910682,1.14241486068111,0.89823670053795,1.31140350877193,0.484728270595956
153,"F",23,112.338235294118,89.0367647058823,70.9019607843137,1.71232093239002,1.47721415977215,2.47704617888384,0.774231152370658,1.5809335882099,0.915140478668056,0.862481499753327,1.10892871757099,1.77817122622651,1.63605550259507,1.24340683095547,1.2234057866705,1.0601439342015,0.40812767903664,0.457451456557302
154,"F",29,97.9777777777778,70.4808080808081,57.569696969697,-6.17497979253672,1.20471323111868,1.89205653021442,0.605068864083532,1.35968153048658,0.783391221976632,0.570205479452055,0.704733667314182,2.0559640811709,1.66317246835443,1.29055890346213,1.29279788104235,0.985159319074645,2.94896077213436,0.465256563509983
155,"F",23,82.0409836065574,60.5606557377049,45.4655737704918,1.15480607082631,1.07832649907886,1.97103082905935,0.629921827155157,1.39549966909332,0.679760286045225,0.647564729313784,0.969180514131519,1.81454324136332,1.47557989095278,1.33171948903207,1.19443394605738,0.292361111111108,0.385447818488919,0.445419208287234
156,"M",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"F",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"F",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"M",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,"M",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"M",15,93.1672131147541,65.5327868852459,48.9098360655738,1.17953104779452,1.13862736185962,2.27685607631687,0.727744757948694,1.53940830708278,0.537950536379549,0.281580008061264,0.153719599427751,1.80778743103558,1.327170963365,1.18796530815872,1.12563667232598,0.794371051120042,0.397600482613338,0.443545784590561
162,"M",23,113.726984126984,92.0126984126984,70.9269841269841,-9.89839689283945,1.08586930879925,1.92664148750726,0.601851431683078,1.32957170197321,0.973071565961395,1.01877199843567,0.870469547888899,1.53817314246762,1.61844224574321,1.26366828289583,1.17376187900796,1.14131033217104,0.627213805308463,0.447422977572311
163,"M",21,118.012254901961,94.3946078431373,84.8553921568627,1.79811339103375,0.906852431049188,1.66767792311136,0.539351144424249,1.27517592240396,0.785547057905416,0.587709896391572,0.770690325087424,1.6672392774022,1.36579509071505,1.19613138686132,1.1701406062319,0.32252153197729,0.370554375239798,0.436611239946711
164,"F",20,96.2205882352941,67.8946078431373,62.453431372549,1.55183556233731,1.22334718549301,1.6253866548829,0.558029280133505,1.37258865657849,0.793299983598491,0.514797136038183,0.73402959094865,2.08960879360961,1.70087606148554,1.29511454388662,1.21792760276132,0.700042851021285,0.384878915968093,0.472451992544971
165,"F",20,145.12862745098,106.056470588235,88.6282352941176,1.40340529433339,1.68278496397257,2.30843355494136,0.758597834892112,1.61937842778793,0.718862429330136,0.458168719498026,0.755418893033571,2.07566061883611,1.62353347135956,1.24702526487367,1.28194972112198,0.899124178917728,0.422507512410612,0.465977426218892
